team,player,minute,x_start,y_start,x_end,y_end
France,Theo Bernard François Hernández,70,81.3,3.4,98.2,3.4
France,Kylian Mbappé Lottin,70,98.9,8.7,101.0,12.3
Argentina,Damián Emiliano Martínez,70,7.0,44.1,75.1,7.7
France,Jules Koundé,71,45.0,72.4,54.0,75.2
Argentina,Julián Álvarez,71,75.1,6.6,68.1,13.0
Argentina,Alexis Mac Allister,71,88.4,15.6,100.1,7.4
Argentina,Marcos Javier Acuña,71,100.4,7.4,112.6,14.7
Argentina,Alexis Mac Allister,71,112.6,7.9,99.5,9.6
Argentina,Lionel Andrés Messi Cuccittini,71,106.8,23.9,98.2,31.8
France,Hugo Lloris,71,10.1,38.6,34.7,18.8
France,Adrien Rabiot,71,60.0,14.5,62.7,4.4
France,Eduardo Camavinga,71,45.2,2.7,35.1,11.5
France,Dayotchanculle Upamecano,71,31.5,12.3,34.5,35.7
France,Raphaël Varane,71,43.5,43.8,52.0,69.9
France,Jules Koundé,72,63.6,70.9,62.7,55.5
France,Aurélien Djani Tchouaméni,72,57.8,45.5,65.1,39.7
France,Adrien Rabiot,72,66.8,38.9,48.0,51.5
France,Raphaël Varane,72,48.0,51.5,56.5,22.6
France,Dayotchanculle Upamecano,72,56.5,22.6,83.9,4.6
France,Randal Kolo Muani,72,92.0,8.1,82.4,22.0
France,Aurélien Djani Tchouaméni,72,83.1,22.0,105.3,46.8
France,Eduardo Camavinga,72,58.5,0.1,48.0,5.5
France,Dayotchanculle Upamecano,72,54.4,8.3,48.0,47.0
France,Raphaël Varane,72,70.0,52.3,79.0,74.2
France,Jules Koundé,72,79.0,74.2,93.7,72.2
France,Kingsley Coman,72,93.5,80.0,78.3,71.4
France,Adrien Rabiot,72,78.3,71.4,82.6,73.7
France,Kingsley Coman,72,83.9,75.0,61.9,61.8
France,Raphaël Varane,73,61.9,58.8,64.2,34.2
France,Dayotchanculle Upamecano,73,82.8,19.2,97.4,21.1
Argentina,Damián Emiliano Martínez,74,36.4,62.6,92.0,63.3
France,Dayotchanculle Upamecano,74,28.1,16.8,45.0,14.5
Argentina,Cristian Gabriel Romero,74,17.6,76.3,19.7,68.0
Argentina,Enzo Fernandez,74,19.7,68.0,33.0,75.9
Argentina,Rodrigo Javier De Paul,74,45.0,70.5,90.9,64.8
Argentina,Julián Álvarez,74,108.9,74.2,95.9,75.9
Argentina,Nahuel Molina Lucero,74,92.9,77.0,86.7,55.6
France,Kingsley Coman,74,47.1,29.2,42.6,50.2
France,Raphaël Varane,74,67.4,57.9,79.6,79.7
Argentina,Nicolás Alejandro Tagliafico,75,48.4,0.1,71.9,6.2
Argentina,Nicolás Alejandro Tagliafico,75,61.4,0.1,56.1,33.3
France,Marcus Thuram,75,54.2,38.2,70.9,59.6
Argentina,Nicolás Hernán Otamendi,75,59.9,22.0,81.3,38.2
France,Eduardo Camavinga,75,41.6,34.2,54.6,18.5
France,Marcus Thuram,75,62.9,16.4,55.9,32.9
France,Aurélien Djani Tchouaméni,76,78.6,29.7,92.3,15.8
Argentina,Nahuel Molina Lucero,76,27.8,64.3,43.5,61.8
Argentina,Lionel Andrés Messi Cuccittini,76,49.0,66.5,73.0,73.7
Argentina,Nahuel Molina Lucero,76,79.4,76.5,64.6,73.3
Argentina,Lionel Andrés Messi Cuccittini,76,85.6,72.7,75.8,68.0
Argentina,Nahuel Molina Lucero,76,75.8,68.2,86.7,75.7
Argentina,Lionel Andrés Messi Cuccittini,76,86.7,76.1,95.9,77.8
Argentina,Rodrigo Javier De Paul,76,95.2,55.4,87.3,55.4
Argentina,Alexis Mac Allister,76,87.3,55.4,80.3,51.3
Argentina,Enzo Fernandez,76,80.0,51.3,87.3,69.7
Argentina,Lionel Andrés Messi Cuccittini,77,92.9,64.8,108.5,59.2
Argentina,Rodrigo Javier De Paul,77,112.1,59.8,117.9,42.1
France,Hugo Lloris,77,13.7,42.7,82.2,55.3
Argentina,Enzo Fernandez,77,49.2,15.4,55.0,12.6
Argentina,Marcos Javier Acuña,77,55.2,11.7,52.0,26.5
Argentina,Alexis Mac Allister,77,66.6,28.2,55.9,25.4
Argentina,Enzo Fernandez,77,55.9,27.5,69.1,67.3
